PUMA,Year,Average Wage,Growth
"Aguadilla, Aguada & Moca PUMA, PR",2022,25236.07,9.44
"Mayagüez, Añasco & Hormigueros PUMA, PR",2022,25500.49,7.74
"Cabo Rojo, San Germán & Lajas PUMA, PR",2022,25193.7,9.37
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2022,22427.28,8.03
"Ponce PUMA, PR",2022,28662.44,9.37
"Juana Díaz, Coamo & Villalba PUMA, PR",2022,25075.14,7.8
"Guayama, Salinas & Patillas PUMA, PR",2022,25152.56,8.8
"Humacao, Fajardo & Islas Municipios PUMA, PR",2022,27739.76,11.61
"Río Grande, Canóvanas & Loíza PUMA, PR",2022,27540.2,11.81
"Carolina PUMA, PR",2022,33854.03,4.47
"San Juan Norte PUMA, PR",2022,41880.41,10.37
"San Juan Sur PUMA, PR",2022,38906.09,2.47
"Guaynabo & Cataño PUMA, PR",2022,45081.39,10.29
"Bayamón PUMA, PR",2022,31224.63,6.52
"Toa Baja & Dorado PUMA, PR",2022,34043.08,10.36
"Toa Alta, Corozal & Naranjito PUMA, PR",2022,28090.09,8.6
"Vega Baja, Vega Alta & Morovis PUMA, PR",2022,31609.85,17.56
"Arecibo, Manatí & Barceloneta PUMA, PR",2022,26393.95,11.98
"Isabela, Hatillo & Camuy PUMA, PR",2022,26278.35,9.48
"San Sebastián, Utuado & Lares PUMA, PR",2022,23123.83,N/A
"Cayey, Cidra & Barranquitas PUMA, PR",2022,27973.82,4.01
"Caguas PUMA, PR",2022,36614.47,8.68
"Trujillo Alto & Gurabo PUMA, PR",2022,32743.12,12.11
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2022,32904.67,7.4
"Aguadilla, Aguada & Moca PUMA, PR",2021,23058.97,5.27
"Mayagüez, Añasco & Hormigueros PUMA, PR",2021,23667.97,1.49
"Cabo Rojo, San Germán & Lajas PUMA, PR",2021,23034.59,4.66
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2021,20761.05,3.59
"Ponce PUMA, PR",2021,26206.18,7.24
"Juana Díaz, Coamo & Villalba PUMA, PR",2021,23260.06,2.78
"Guayama, Salinas & Patillas PUMA, PR",2021,23118.57,7.58
"Humacao, Fajardo & Islas Municipios PUMA, PR",2021,24854.47,4.08
"Río Grande, Canóvanas & Loíza PUMA, PR",2021,24632.23,4.18
"Carolina PUMA, PR",2021,32406.06,5.27
"San Juan Norte PUMA, PR",2021,37945.91,4.43
"San Juan Sur PUMA, PR",2021,37966.75,-0.98
"Guaynabo & Cataño PUMA, PR",2021,40876.15,2.96
"Bayamón PUMA, PR",2021,29314.24,3.86
"Toa Baja & Dorado PUMA, PR",2021,30847.95,4.04
"Toa Alta, Corozal & Naranjito PUMA, PR",2021,25866.05,1.98
"Vega Baja, Vega Alta & Morovis PUMA, PR",2021,26888.88,5.5
"Arecibo, Manatí & Barceloneta PUMA, PR",2021,23569.38,6.68
"Isabela, Hatillo & Camuy PUMA, PR",2021,24003.63,5.11
"Cayey, Cidra & Barranquitas PUMA, PR",2021,26895.11,4.43
"Caguas PUMA, PR",2021,33688.72,5.72
"Trujillo Alto & Gurabo PUMA, PR",2021,29206.71,4.71
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2021,30637.04,6.73
"Aguadilla, Aguada & Moca PUMA, PR",2020,21905.07,3.4
"Mayagüez, Añasco & Hormigueros PUMA, PR",2020,23320.19,4.4
"Cabo Rojo, San Germán & Lajas PUMA, PR",2020,22009.84,0.12
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2020,20041.51,-0.96
"Ponce PUMA, PR",2020,24437.34,3.28
"Juana Díaz, Coamo & Villalba PUMA, PR",2020,22631.46,-2.37
"Guayama, Salinas & Patillas PUMA, PR",2020,21490.26,-0.2
"Humacao, Fajardo & Islas Municipios PUMA, PR",2020,23881.06,4.31
"Río Grande, Canóvanas & Loíza PUMA, PR",2020,23643.23,0.81
"Carolina PUMA, PR",2020,30784.01,2.23
"San Juan Norte PUMA, PR",2020,36336.72,3.54
"San Juan Sur PUMA, PR",2020,38340.75,1.52
"Guaynabo & Cataño PUMA, PR",2020,39700.45,0.25
"Bayamón PUMA, PR",2020,28223.45,4.12
"Toa Baja & Dorado PUMA, PR",2020,29649.12,2.87
"Toa Alta, Corozal & Naranjito PUMA, PR",2020,25362.69,0.18
"Vega Baja, Vega Alta & Morovis PUMA, PR",2020,25487.77,3.21
"Arecibo, Manatí & Barceloneta PUMA, PR",2020,22094.17,1.85
"Isabela, Hatillo & Camuy PUMA, PR",2020,22835.64,1.11
"Cayey, Cidra & Barranquitas PUMA, PR",2020,25754.84,5.16
"Caguas PUMA, PR",2020,31866.68,1.29
"Trujillo Alto & Gurabo PUMA, PR",2020,27892.0,1.19
"San Lorenzo, Juncos & Las Piedras PUMA, PR",2020,28704.37,2.19
"Aguadilla, Aguada & Moca PUMA, PR",2019,21184.55,4.54
"Mayagüez, Añasco & Hormigueros PUMA, PR",2019,22336.49,0.9
"Cabo Rojo, San Germán & Lajas PUMA, PR",2019,21983.09,-1.51
"Yauco, Sabana Grande & Peñuelas PUMA, PR",2019,20236.19,0.06
"Ponce PUMA, PR",2019,23661.65,-0.59
"Juana Díaz, Coamo & Villalba PUMA, PR",2019,23179.77,-2.08
"Guayama, Salinas & Patillas PUMA, PR",2019,21533.03,2.65
